__status,sys_created_by,sys_created_on,sys_id,sys_mod_count,sys_updated_by,sys_updated_on,u_bldg_code,u_building,u_comments,u_floor,u_name,u_room,u_room_key,u_tr
success,RhondaAdmin,2014-03-24 21:03:44,49120f1389a31100090da23bf5f0e487,0,RhondaAdmin,2014-03-24 21:03:44,f1b04b1389a31100090da23bf5f0e4e5,3e56174454cd6c00370f77cd1a50ee59, (MSCNS Floor: 11 Rm: 11242),d257930854cd6c00370f77cd1a50ee42,CAM11A,,CBCA1,A
success,RhondaAdmin,2014-03-24 21:03:48,4a120f1389a31100090da23bf5f0e48f,0,RhondaAdmin,2014-03-24 21:03:48,35b04b1389a31100090da23bf5f0e4e5,a156d34454cd6c00370f77cd1a50ee6f, (MSCNS Floor: 01 Rm: 1012),ac571bc454cd6c00370f77cd1a50eef8,CDORM01A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:03:48,4a120f1389a31100090da23bf5f0e490,1,svc-midsrv,2014-06-07 09:00:14,7ddb6f2351e3110032e3236e4abe2723,9f57df4454cd6c00370f77cd1a50ee90,Located across from single elevator by suite 1026. Chase staff opens TR. (MSCNS Floor: 10 Rm: 1026),cd57530854cd6c00370f77cd1a50ee20,CHASE10A,,staff,A
success,RhondaAdmin,2014-03-24 21:24:17,4ac64f5389a31100090da23bf5f0e4df,1,svc-midsrv,2014-06-07 09:00:16,ec3c636351e3110032e3236e4abe27e7,, (MSCNS Floor: 06 Rm: CP6A),7d579bc454cd6c00370f77cd1a50ee78,CP06A,,CBCA1,A
success,RhondaAdmin,2014-03-24 21:03:52,4b120f1389a31100090da23bf5f0e499,1,svc-midsrv,2014-06-07 09:00:21,3db04b1389a31100090da23bf5f0e4e5,5657db4454cd6c00370f77cd1a50eecc, (MSCNS Floor: 0B Rm: 48),7f57130854cd6c00370f77cd1a50ee1b,CSRBN00A,,ORANGE,A
success,RhondaAdmin,2014-03-24 21:04:09,4b220f1389a31100090da23bf5f0e4e1,1,svc-midsrv,2014-06-07 09:00:43,46b04b1389a31100090da23bf5f0e4e8,8c56db0454cd6c00370f77cd1a50ee92, (MSCNS Floor: 0G Rm: 11),a8c9fe60406c0100a7c4289f845e4dd5,OLIN00A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:04:09,4b220f1389a31100090da23bf5f0e4e2,0,RhondaAdmin,2014-03-24 21:04:09,46b04b1389a31100090da23bf5f0e4e8,8c56db0454cd6c00370f77cd1a50ee92, (MSCNS Floor: 07 Rm: 729),e8575fc454cd6c00370f77cd1a50ee15,OLIN07A,,OHA 4.6,A
success,RhondaAdmin,2014-03-24 21:04:41,4b424f1389a31100090da23bf5f0e467,0,RhondaAdmin,2014-03-24 21:04:41,c2b04b1389a31100090da23bf5f0e4ea,ae56534454cd6c00370f77cd1a50eec5, (MSCNS Floor: 05 Rm: 503),b1579bc454cd6c00370f77cd1a50ee4e,WC05A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:03:44,4d120f1389a31100090da23bf5f0e486,0,RhondaAdmin,2014-03-24 21:03:44,f1b04b1389a31100090da23bf5f0e4e5,3e56174454cd6c00370f77cd1a50ee59, (MSCNS Floor: 08 Rm: 8523),b5579fc454cd6c00370f77cd1a50ee4c,CAM08A,,CBCA1,A
success,RhondaAdmin,2014-03-24 21:03:44,4d120f1389a31100090da23bf5f0e487,0,RhondaAdmin,2014-03-24 21:03:44,f1b04b1389a31100090da23bf5f0e4e5,3e56174454cd6c00370f77cd1a50ee59, (MSCNS Floor: 12 Rm: 12054),5357d30854cd6c00370f77cd1a50ee54,CAM12A,,CBCA1,A
success,RhondaAdmin,2014-03-24 21:03:48,4e120f1389a31100090da23bf5f0e48f,0,RhondaAdmin,2014-03-24 21:03:48,35b04b1389a31100090da23bf5f0e4e5,a156d34454cd6c00370f77cd1a50ee6f, (MSCNS Floor: 03 Rm: 316),59575bc454cd6c00370f77cd1a50eec9,CDORM03A,,PMS9,A
success,svc-midsrv,2014-06-07 09:00:13,4ebb669fb9c96100bfac9d5b815179e4,0,svc-midsrv,2014-06-07 09:00:13,103c636351e3110032e3236e4abe27e5,, (MSCNS Floor: 01 Rm: 0),ac571bc454cd6c00370f77cd1a50eef8,CAB01A,,CBCA1,A
success,RhondaAdmin,2014-03-24 21:24:17,4ec64f5389a31100090da23bf5f0e4e0,1,svc-midsrv,2014-06-07 09:01:20,ec3c636351e3110032e3236e4abe27e7,, (MSCNS Floor: 04 Rm: 4400Z),25579bc454cd6c00370f77cd1a50ee23,CP04A,,CBCA,A
success,RhondaAdmin,2014-03-24 21:03:52,4f120f1389a31100090da23bf5f0e499,0,RhondaAdmin,2014-03-24 21:03:52,3db04b1389a31100090da23bf5f0e4e5,5657db4454cd6c00370f77cd1a50eecc, (MSCNS Floor: 01 Rm: 1048),ac571bc454cd6c00370f77cd1a50eef8,CSRBN01A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:04:09,4f220f1389a31100090da23bf5f0e4e1,0,RhondaAdmin,2014-03-24 21:04:09,46b04b1389a31100090da23bf5f0e4e8,8c56db0454cd6c00370f77cd1a50ee92, (MSCNS Floor: 04 Rm: 429),25579bc454cd6c00370f77cd1a50ee23,OLIN04A,,OHA 4.6,A
success,RhondaAdmin,2014-03-24 21:04:34,51424f1389a31100090da23bf5f0e44b,0,RhondaAdmin,2014-03-24 21:04:34,f9b04b1389a31100090da23bf5f0e4e6,e2575b4454cd6c00370f77cd1a50ee1d, (MSCNS Floor: 01 Rm: 1018),ac571bc454cd6c00370f77cd1a50eef8,GDCE01A,,combo,A
success,RhondaAdmin,2014-03-24 21:24:17,52c64f5389a31100090da23bf5f0e4e2,1,svc-midsrv,2014-06-07 09:01:24,316ce36351e3110032e3236e4abe2781,,South Pavilion Garage - Main Visitor Parking Garage (MSCNS Floor: LL Rm: none),7a69d70c54cd6c00370f77cd1a50ee18,SPGLLA,,CBCA1,A
success,RhondaAdmin,2014-03-24 21:03:53,53120f1389a31100090da23bf5f0e49b,0,RhondaAdmin,2014-03-24 21:03:53,3db04b1389a31100090da23bf5f0e4e5,5657db4454cd6c00370f77cd1a50eecc, (MSCNS Floor: 06 Rm: 6048),7d579bc454cd6c00370f77cd1a50ee78,CSRBN06A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:03:53,53120f1389a31100090da23bf5f0e49c,0,RhondaAdmin,2014-03-24 21:03:53,3db04b1389a31100090da23bf5f0e4e5,5657db4454cd6c00370f77cd1a50eecc, (MSCNS Floor: 10 Rm: 10048),cd57530854cd6c00370f77cd1a50ee20,CSRBN10A,,PMS9,A
success,RhondaAdmin,2014-03-24 21:04:09,53220f1389a31100090da23bf5f0e4e3,0,RhondaAdmin,2014-03-24 21:04:09,46b04b1389a31100090da23bf5f0e4e8,8c56db0454cd6c00370f77cd1a50ee92, (MSCNS Floor: 09 Rm: 929),fa57dfc454cd6c00370f77cd1a50ee4e,OLIN09A,,OHA 4.6,A
success,RhondaAdmin,2014-03-24 21:04:26,53324f1389a31100090da23bf5f0e42e,1,svc-midsrv,2014-06-07 09:01:08,4eb04b1389a31100090da23bf5f0e4e9,e357d74454cd6c00370f77cd1a50ee32, (MSCNS Floor: 01 Rm: 1008),ac571bc454cd6c00370f77cd1a50eef8,SRFE01A,,PMS9,A
